"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"OTU_1436"	"Geese"	"high"	"Geesehigh"	5.50064080130203	0.71715364990908	0.797212381969549	0.0000287147782942476	0.0176443812987643	0.0000287147782942476	0.0136942809202417	NA	"abundance"	18	18
"OTU_242"	"Geese"	"high"	"Geesehigh"	4.53295601652804	0.71715364990908	0.595893137286205	0.0000311800567400766	0.0176443812987643	0.0000311800567400766	0.0136942809202417	NA	"abundance"	18	16
"OTU_245"	"Geese"	"high"	"Geesehigh"	5.59223370442528	0.71715364990908	0.694076861358726	0.0000262264183428229	0.0176443812987643	0.0000262264183428229	0.0136942809202417	NA	"abundance"	18	14
"OTU_34"	"Geese"	"high"	"Geesehigh"	-8.12598815768976	0.71715364990908	1.15190507299665	0.0000179811211971082	0.0176443812987643	0.0000179811211971082	0.0136942809202417	NA	"abundance"	18	13
"OTU_41"	"Geese"	"high"	"Geesehigh"	6.33275356893958	0.71715364990908	0.776714834249885	0.0000323354574809365	0.0176443812987643	0.0000646698693800624	0.0236691721931029	NA	"abundance"	18	13
"OTU_72"	"Geese"	"high"	"Geesehigh"	5.05758986312033	0.71715364990908	0.704155008020614	0.0000300613536811101	0.0176443812987643	0.0000300613536811101	0.0136942809202417	NA	"abundance"	18	17
"OTU_32"	"Geese"	"high"	"Geesehigh"	-4.76955048807727	0.71715364990908	0.900014592661475	0.0000872315312636651	0.0407994333367485	0.0000872315312636651	0.0273657775221441	NA	"abundance"	18	14
"OTU_125"	"Geese"	"high"	"Geesehigh"	-6.0684684529923	0.71715364990908	0.991601876593495	0.000141774304986964	0.0483791897787648	0.000141774304986964	0.0345929304168191	NA	"abundance"	18	11
"OTU_23"	"Geese"	"high"	"Geesehigh"	-3.12409583263517	0.71715364990908	0.743546501348486	0.000139094083946301	0.0483791897787648	0.000139094083946301	0.0345929304168191	NA	"abundance"	18	18
"OTU_589"	"Geese"	"low"	"Geeselow"	-1.88448273460477	0.830285980745297	0.487370879950039	0.000147767836831902	0.0483791897787648	0.000295513838330203	0.0648948388973125	NA	"abundance"	18	15
"OTU_2"	"Geese"	"low"	"Geeselow"	-3.48715584278567	0.830285980745297	0.848697418535939	0.000175270249588189	0.0521667997410663	0.000350509779515986	0.0699744978015551	NA	"abundance"	18	17
"OTU_26"	"Geese"	"high"	"Geesehigh"	-4.51592934717647	0.71715364990908	1.06206036370344	0.000242752493326837	0.0611362817809279	0.000485446057880657	0.0710693028737281	NA	"abundance"	18	17
"OTU_48"	"Geese"	"high"	"Geesehigh"	-5.61318508731198	0.71715364990908	1.16872613216296	0.000225827738149498	0.0611362817809279	0.000451604478131678	0.0708373881412261	NA	"abundance"	18	14
"OTU_81"	"Geese"	"low"	"Geeselow"	5.44118487049797	0.830285980745297	0.942142651846563	0.000304273567695246	0.0711565471881596	0.000608454552986493	0.0835103873973962	NA	"abundance"	18	16
"OTU_113"	"Geese"	"high"	"Geesehigh"	2.96094955012254	0.71715364990908	0.461222857861309	0.000385481840362134	0.0835049291120757	0.000385481840362134	0.0705431767862705	NA	"abundance"	18	17
"OTU_242"	"Geese"	"low"	"Geeselow"	3.76513677967506	0.830285980745297	0.622390083233216	0.000446023699366638	0.0835049291120757	0.000446023699366638	0.0708373881412261	NA	"abundance"	18	16
"OTU_268"	"Geese"	"low"	"Geeselow"	-2.62048111663008	0.830285980745297	0.747852232613435	0.000432370467535304	0.0835049291120757	0.00086455399084941	0.0974567176836012	NA	"abundance"	18	17
"OTU_361"	"Geese"	"high"	"Geesehigh"	7.29079884761191	0.71715364990908	0.609562700295775	0.000459098571782945	0.0835049291120757	0.000917986372067278	0.0974567176836012	NA	"abundance"	18	7
"OTU_105"	"Geese"	"high"	"Geesehigh"	-5.07691954800493	0.71715364990908	1.137411515408	0.000493398912548182	0.0835673884338338	0.000986554382609461	0.0974567176836012	NA	"abundance"	18	13
"OTU_330"	"Geese"	"high"	"Geesehigh"	-2.79407018921018	0.71715364990908	0.710329428180137	0.000510491071678887	0.0835673884338338	0.00102072154222351	0.0974567176836012	NA	"abundance"	18	14
"OTU_270"	"Geese"	"high"	"Geesehigh"	-2.16643871256975	0.71715364990908	0.617940903074541	0.000662290491665329	0.098560866805104	0.00132414235463531	0.116312664431165	NA	"abundance"	18	15
"OTU_6"	"Geese"	"high"	"Geesehigh"	-4.39203648698151	0.71715364990908	1.18393897783254	0.000657364045054454	0.098560866805104	0.000657364045054454	0.08491596723174	NA	"abundance"	18	18
"OTU_112"	"Geese"	"high"	"Geesehigh"	-7.05757778733811	0.71715364990908	1.0918100643538	0.000878182882562584	0.110309926165575	0.00175559455994994	0.132695715321189	NA	"abundance"	18	8
"OTU_149"	"Geese"	"high"	"Geesehigh"	-5.09852761816145	0.71715364990908	1.191939889552	0.000911586513960394	0.110309926165575	0.00182234203794835	0.132695715321189	NA	"abundance"	18	12
"OTU_15"	"Geese"	"low"	"Geeselow"	-2.98241835813474	0.830285980745297	0.89188722354928	0.000805745889218112	0.110309926165575	0.00161084255199823	0.132695715321189	NA	"abundance"	18	17
"OTU_2"	"Geese"	"high"	"Geesehigh"	-2.74848299557876	0.71715364990908	0.809201238163327	0.000865827172793265	0.110309926165575	0.00173090468889338	0.132695715321189	NA	"abundance"	18	17
"OTU_269"	"Geese"	"low"	"Geeselow"	4.15702576222555	0.830285980745297	0.813086559781932	0.00101078124159049	0.110309926165575	0.00101078124159049	0.0974567176836012	NA	"abundance"	18	18
"OTU_32"	"Geese"	"low"	"Geeselow"	-2.63248593523509	0.830285980745297	0.770726451128614	0.000973040492151078	0.110309926165575	0.00194513417650279	0.133484832862504	NA	"abundance"	18	14
